,movieId,title,genres
4169,6003,Confessions of a Dangerous Mind (2002),Comedy|Crime|Drama|Thriller
4176,6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
4198,6059,"Recruit, The (2003)",Action|Thriller
4212,6104,Monty Python Live at the Hollywood Bowl (1982),Comedy
4229,6157,Daredevil (2003),Action|Crime
4244,6187,"Life of David Gale, The (2003)",Crime|Drama|Thriller
4245,6188,Old School (2003),Comedy
4247,6193,Poolhall Junkies (2002),Comedy|Drama|Thriller
4297,6281,Phone Booth (2002),Drama|Thriller
4301,6287,Anger Management (2003),Comedy
4306,6294,Bulletproof Monk (2003),Action|Adventure|Sci-Fi
4327,6323,Identity (2003),Crime|Horror|Mystery|Thriller
4334,6333,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
4351,6365,"Matrix Reloaded, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
4356,6373,Bruce Almighty (2003),Comedy|Drama|Fantasy|Romance
4360,6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy
4361,6378,"Italian Job, The (2003)",Action|Crime
4408,6502,28 Days Later (2002),Action|Horror|Sci-Fi
4409,6503,Charlie's Angels: Full Throttle (2003),Action|Adventure|Comedy|Crime|Thriller
4425,6537,Terminator 3: Rise of the Machines (2003),Action|Adventure|Sci-Fi
4427,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
4428,6541,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",Action|Fantasy|Sci-Fi
4467,6595,S.W.A.T. (2003),Action|Thriller
4480,6618,Shaolin Soccer (Siu lam juk kau) (2001),Action|Comedy
4498,6659,Tremors (1990),Comedy|Horror|Sci-Fi
4526,6708,Matchstick Men (2003),Comedy|Crime|Drama
4527,6709,Once Upon a Time in Mexico (2003),Action|Adventure|Crime|Thriller
4528,6710,Dummy (2002),Comedy|Drama|Romance
4548,6754,Underworld (2003),Action|Fantasy|Horror
4552,6764,"Rundown, The (2003)",Action|Adventure|Comedy
4575,6796,Boyz N the Hood (1991),Crime|Drama
4591,6820,Ginger Snaps (2000),Drama|Horror|Thriller
4608,6863,School of Rock (2003),Comedy|Musical
4612,6870,Mystic River (2003),Crime|Drama|Mystery
4615,6874,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
4616,6879,Runaway Jury (2003),Drama|Thriller
4628,6893,"Italian Job, The (1969)",Action|Comedy|Crime
4639,6934,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
4641,6936,Elf (2003),Children|Comedy|Fantasy
4656,6957,Bad Santa (2003),Comedy|Crime
4672,6979,WarGames (1983),Drama|Sci-Fi|Thriller
4752,7076,Bullitt (1968),Action|Crime|Drama|Thriller
4764,7090,Hero (Ying xiong) (2002),Action|Adventure|Drama
4791,7137,"Cooler, The (2003)",Comedy|Drama|Romance
4795,7143,"Last Samurai, The (2003)",Action|Adventure|Drama|War
4796,7147,Big Fish (2003),Drama|Fantasy|Romance
4800,7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
4804,7158,House of Sand and Fog (2003),Drama
4808,7163,Paycheck (2003),Action|Sci-Fi|Thriller
4851,7254,The Butterfly Effect (2004),Drama|Sci-Fi|Thriller
4890,7324,Hidalgo (2004),Adventure|Drama
4891,7325,Starsky & Hutch (2004),Action|Comedy|Crime|Thriller
4901,7346,"Girl Next Door, The (2004)",Comedy|Romance
4902,7347,Secret Window (2004),Mystery|Thriller
4908,7360,Dawn of the Dead (2004),Action|Drama|Horror|Thriller
4909,7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
4918,7373,Hellboy (2004),Action|Adventure|Fantasy|Horror
4921,7377,"United States of Leland, The (2003)",Crime|Drama
4935,7438,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
4936,7439,"Punisher, The (2004)",Action|Crime|Thriller
4940,7445,Man on Fire (2004),Action|Crime|Drama|Mystery|Thriller
4944,7451,Mean Girls (2004),Comedy
5015,7773,"Bang, Bang, You're Dead (2002)",Drama
5110,8132,Gladiator (1992),Action|Drama
5160,8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
5161,8361,"Day After Tomorrow, The (2004)",Action|Adventure|Drama|Sci-Fi|Thriller
5165,8366,Saved! (2004),Comedy|Drama
5166,8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
5169,8371,"Chronicles of Riddick, The (2004)",Action|Sci-Fi|Thriller
5173,8376,Napoleon Dynamite (2004),Comedy
5200,8464,Super Size Me (2004),Comedy|Documentary|Drama
5222,8528,Dodgeball: A True Underdog Story (2004),Comedy
5255,8622,Fahrenheit 9/11 (2004),Documentary
5260,8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
5265,8644,"I, Robot (2004)",Action|Adventure|Sci-Fi|Thriller
5269,8665,"Bourne Supremacy, The (2004)",Action|Crime|Thriller
5271,8667,A Home at the End of the World (2004),Drama|Romance
5299,8781,"Manchurian Candidate, The (2004)",Thriller
5301,8783,"Village, The (2004)",Drama|Mystery|Thriller
5302,8784,Garden State (2004),Comedy|Drama|Romance
5305,8798,Collateral (2004),Action|Crime|Drama|Thriller
5309,8807,Harold and Kumar Go to White Castle (2004),Adventure|Comedy
5312,8810,AVP: Alien vs. Predator (2004),Action|Horror|Sci-Fi|Thriller
5334,8873,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama
5335,8874,Shaun of the Dead (2004),Comedy|Horror
5360,8939,"Final Cut, The (2004)",Sci-Fi|Thriller
5371,8957,Saw (2004),Horror|Mystery|Thriller
5374,8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
5377,8966,Kinsey (2004),Drama
5378,8967,Seed of Chucky (Child's Play 5) (2004),Comedy|Horror
5381,8970,Finding Neverland (2004),Drama
5382,8972,National Treasure (2004),Action|Adventure|Drama|Mystery|Thriller
5390,8983,House of Flying Daggers (Shi mian mai fu) (2004),Action|Drama|Romance
5391,8984,Ocean's Twelve (2004),Action|Comedy|Crime|Thriller
5680,27706,Lemony Snicket's A Series of Unfortunate Events (2004),Adventure|Children|Comedy|Fantasy
5718,27839,"Ring Two, The (2005)",Drama|Horror|Mystery|Thriller
5737,30810,"Life Aquatic with Steve Zissou, The (2004)",Adventure|Comedy|Fantasy
5742,30822,In Good Company (2004),Comedy|Drama
5767,31221,Elektra (2005),Action|Adventure|Crime|Drama
5797,31696,Constantine (2005),Action|Fantasy|Horror|Thriller
5818,32029,Hostage (2005),Action|Crime|Drama|Thriller
5819,32031,Robots (2005),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX
5835,32302,"League of Ordinary Gentlemen, A (2004)",Documentary
5850,32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
5895,33437,Unleashed (Danny the Dog) (2005),Action|Crime|Drama|Thriller
5911,33679,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance
5914,33725,It's All Gone Pete Tong (2004),Comedy|Drama|Musical
5931,34048,War of the Worlds (2005),Action|Adventure|Sci-Fi|Thriller
5943,34319,"Island, The (2005)",Action|Sci-Fi|Thriller
5954,34405,Serenity (2005),Action|Adventure|Sci-Fi
5989,36708,Family Guy Presents Stewie Griffin: The Untold Story (2005),Adventure|Animation|Comedy
5997,37386,Aeon Flux (2005),Action|Sci-Fi
6011,37830,Final Fantasy VII: Advent Children (2004),Action|Adventure|Animation|Fantasy|Sci-Fi
6046,40278,Jarhead (2005),Action|Drama|War
6113,42738,Underworld: Evolution (2006),Action|Fantasy|Horror
6151,44191,V for Vendetta (2006),Action|Sci-Fi|Thriller|IMAX
6170,44665,Lucky Number Slevin (2006),Crime|Drama|Mystery
6209,45499,X-Men: The Last Stand (2006),Action|Sci-Fi|Thriller
6351,49284,10 Items or Less (2006),Comedy|Drama|Romance
6422,51255,Hot Fuzz (2007),Action|Comedy|Crime|Mystery
6433,51662,300 (2007),Action|Fantasy|War|IMAX
6446,51935,Shooter (2007),Action|Drama|Thriller
6451,52245,Blades of Glory (2007),Comedy|Romance
6521,53996,Transformers (2007),Action|Sci-Fi|Thriller|IMAX
6537,54503,Superbad (2007),Comedy
